CO
Golfgetal [cm-1]	ppm
cm-1	0	20	50  100
2184.76	0	0.006818	0.014596	0.024650
2192.48	0	0.006186	0.013416	0.022995
2200.20	0	0.005049	0.011160	0.019522
2207.92	0	0.003727	0.008523	0.015413
2215.64	0	0.002475	0.005806	0.010928
2223.36	0	0.001439	0.003477	0.006847
2231.08	0	0.000691	0.001775	0.003716
2238.80	0	0.000244	0.000680	0.001630
2246.52	0	-0.000029	0.000070	0.000449
2254.24	0	-0.000145	-0.000208	-0.000077
2261.96	0	-0.000168	-0.000323	-0.000314
2269.68	0	-0.000184	-0.000338	-0.000356
2277.40	0	-0.000187	-0.000360	-0.000405
2285.12	0	-0.000168	-0.000332	-0.000402
2292.84	0	-0.000134	-0.000344	-0.000405
2300.56	0	-0.000044	-0.000342	-0.000395
2308.28	0	0.000088	-0.000277	-0.000384
2316.00	0	0.000269	-0.000235	-0.000363
2323.72	0	0.000470	-0.000218	-0.000362
2331.44	0	0.000587	-0.000151	-0.000348
2339.16	0	0.000570	-0.000168	-0.000344
2346.88	0	0.000275	-0.000271	-0.000353
2354.60	0	0.000393	-0.000205	-0.000342
2362.32	0	0.000882	-0.000068	-0.000315
2370.04	0	0.000815	-0.000098	-0.000327
2377.76	0	0.000316	-0.000244	-0.000373
2385.48	0	-0.000094	-0.000345	-0.000401
2393.20	0	-0.000192	-0.000353	-0.000415
2400.92	0	-0.000241	-0.000359	-0.000398
2408.64	0	-0.000228	-0.000378	-0.000424
2416.36	0	-0.000219	-0.000414	-0.000449
2424.08	0	-0.000231	-0.000386	-0.000414
2431.80	0	-0.000220	-0.000370	-0.000425
2439.52	0	-0.000226	-0.000383	-0.000415
2447.24	0	-0.000223	-0.000354	-0.000410
2454.96	0	-0.000219	-0.000378	-0.000414
2462.68	0	-0.000238	-0.000398	-0.000416
2470.40	0	-0.000240	-0.000375	-0.000444
2478.12	0	-0.000223	-0.000389	-0.000432
2485.84	0	-0.000238	-0.000378	-0.000449
2493.56	0	-0.000240	-0.000390	-0.000483
2501.28	0	-0.000214	-0.000402	-0.000449
2509.00	0	-0.000227	-0.000399	-0.000470
2516.72	0	-0.000230	-0.000393	-0.000443
2524.44	0	-0.000227	-0.000381	-0.000431
2532.16	0	-0.000232	-0.000385	-0.000427
2539.88	0	-0.000220	-0.000382	-0.000433
2547.60	0	-0.000229	-0.000373	-0.000457
2555.32	0	-0.000235	-0.000379	-0.000433
2563.04	0	-0.000218	-0.000409	-0.000444
2570.76	0	-0.000217	-0.000411	-0.000466
2578.48	0	-0.000241	-0.000384	-0.000440
2586.20	0	-0.000254	-0.000408	-0.000458
2593.92	0	-0.000236	-0.000401	-0.000455
2601.64	0	-0.000241	-0.000384	-0.000447
2609.36	0	-0.000250	-0.000413	-0.000462
2617.08	0	-0.000231	-0.000404	-0.000449
2624.80	0	-0.000248	-0.000369	-0.000464
2632.52	0	-0.000233	-0.000405	-0.000453
2640.24	0	-0.000261	-0.000415	-0.000469
2647.96	0	-0.000255	-0.000385	-0.000465
2655.68	0	-0.000212	-0.000399	-0.000462
2663.40	0	-0.000244	-0.000386	-0.000484
2671.12	0	-0.000265	-0.000399	-0.000466
2678.84	0	-0.000277	-0.000426	-0.000472
2686.56	0	-0.000255	-0.000388	-0.000462
2694.28	0	-0.000254	-0.000390	-0.000459
2702.00	0	-0.000261	-0.000404	-0.000495
2709.72	0	-0.000249	-0.000400	-0.000515
2717.44	0	-0.000253	-0.000390	-0.000485
2725.16	0	-0.000262	-0.000417	-0.000502
2732.88	0	-0.000276	-0.000426	-0.000500
2740.60	0	-0.000260	-0.000392	-0.000474
2748.32	0	-0.000260	-0.000426	-0.000486
2756.04	0	-0.000279	-0.000411	-0.000506
2763.76	0	-0.000287	-0.000423	-0.000521
2771.48	0	-0.000269	-0.000433	-0.000509
2779.20	0	-0.000262	-0.000393	-0.000486
2786.92	0	-0.000277	-0.000451	-0.000518
2794.64	0	-0.000280	-0.000438	-0.000523
2802.36	0	-0.000293	-0.000431	-0.000523
2810.08	0	-0.000280	-0.000438	-0.000545
2817.80	0	-0.000265	-0.000416	-0.000510
2825.52	0	-0.000263	-0.000412	-0.000501
2833.24	0	-0.000300	-0.000419	-0.000521
2840.96	0	-0.000288	-0.000428	-0.000523
2848.68	0	-0.000263	-0.000424	-0.000517
2856.40	0	-0.000300	-0.000439	-0.000529
2864.12	0	-0.000312	-0.000435	-0.000511
2871.84	0	-0.000295	-0.000454	-0.000534
2879.56	0	-0.000286	-0.000420	-0.000562
2887.28	0	-0.000284	-0.000414	-0.000555
2895.00	0	-0.000317	-0.000450	-0.000582
2902.72	0	-0.000309	-0.000430	-0.000573
2910.44	0	-0.000288	-0.000438	-0.000569
2918.16	0	-0.000324	-0.000474	-0.000572
2925.88	0	-0.000325	-0.000463	-0.000571
2933.60	0	-0.000332	-0.000465	-0.000595
2941.32	0	-0.000308	-0.000468	-0.000595
2949.04	0	-0.000284	-0.000429	-0.000571
2956.76	0	-0.000364	-0.000479	-0.000598
2964.48	0	-0.000337	-0.000499	-0.000616
2972.20	0	-0.000308	-0.000469	-0.000630
2979.92	0	-0.000293	-0.000432	-0.000617
2987.64	0	-0.000308	-0.000446	-0.000616
2995.36	0	-0.000338	-0.000452	-0.000621
3003.08	0	-0.000309	-0.000456	-0.000600
3010.80	0	-0.000332	-0.000471	-0.000619
3018.52	0	-0.000347	-0.000468	-0.000621
3026.24	0	-0.000357	-0.000478	-0.000629
3033.96	0	-0.000295	-0.000475	-0.000631
3041.68	0	-0.000324	-0.000464	-0.000636
3049.40	0	-0.000314	-0.000473	-0.000641
3057.12	0	-0.000333	-0.000522	-0.000647
3064.84	0	-0.000362	-0.000490	-0.000636
3072.56	0	-0.000305	-0.000472	-0.000631
3080.28	0	-0.000333	-0.000484	-0.000642
3088.00	0	-0.000351	-0.000446	-0.000629
3095.72	0	-0.000337	-0.000448	-0.000634
3103.44	0	-0.000326	-0.000486	-0.000636
3111.16	0	-0.000324	-0.000476	-0.000658
3118.88	0	-0.000348	-0.000476	-0.000675
3126.60	0	-0.000339	-0.000494	-0.000673
3134.32	0	-0.000334	-0.000493	-0.000692
3142.04	0	-0.000382	-0.000506	-0.000693
3149.76	0	-0.000381	-0.000531	-0.000699
3157.48	0	-0.000372	-0.000529	-0.000743
3165.20	0	-0.000385	-0.000493	-0.000726
3172.92	0	-0.000350	-0.000488	-0.000670
3180.64	0	-0.000354	-0.000511	-0.000697
3188.36	0	-0.000351	-0.000512	-0.000720
3196.08	0	-0.000341	-0.000515	-0.000709
3203.80	0	-0.000371	-0.000514	-0.000719
3211.52	0	-0.000380	-0.000511	-0.000733
3219.24	0	-0.000397	-0.000536	-0.000759
3226.96	0	-0.000389	-0.000521	-0.000751
3234.68	0	-0.000359	-0.000507	-0.000714
3242.40	0	-0.000360	-0.000516	-0.000725
3250.12	0	-0.000378	-0.000515	-0.000747
3257.84	0	-0.000391	-0.000515	-0.000779
3265.56	0	-0.000391	-0.000524	-0.000775
3273.28	0	-0.000380	-0.000529	-0.000772
3281.00	0	-0.000363	-0.000510	-0.000744
3288.72	0	-0.000387	-0.000490	-0.000713
3296.44	0	-0.000400	-0.000515	-0.000761
3304.16	0	-0.000383	-0.000540	-0.000771
3311.88	0	-0.000395	-0.000534	-0.000761
3319.60	0	-0.000387	-0.000530	-0.000765
3327.32	0	-0.000388	-0.000536	-0.000776
3335.04	0	-0.000372	-0.000538	-0.000779
3342.76	0	-0.000395	-0.000529	-0.000792
3350.48	0	-0.000434	-0.000562	-0.000805
3358.20	0	-0.000374	-0.000510	-0.000799
3365.92	0	-0.000412	-0.000507	-0.000801
3373.64	0	-0.000440	-0.000551	-0.000827
3381.36	0	-0.000405	-0.000514	-0.000829
3389.08	0	-0.000410	-0.000546	-0.000836
3396.80	0	-0.000424	-0.000543	-0.000821
3404.52	0	-0.000447	-0.000576	-0.000823
3412.24	0	-0.000406	-0.000564	-0.000852
3419.96	0	-0.000411	-0.000536	-0.000854
3427.68	0	-0.000445	-0.000565	-0.000854
3435.40	0	-0.000431	-0.000545	-0.000860
3443.12	0	-0.000442	-0.000543	-0.000864
3450.84	0	-0.000477	-0.000593	-0.000868
3458.56	0	-0.000422	-0.000565	-0.000846
3466.28	0	-0.000403	-0.000511	-0.000854
3474.00	0	-0.000429	-0.000540	-0.000864
3481.72	0	-0.000407	-0.000537	-0.000868
3489.44	0	-0.000435	-0.000568	-0.000904
3497.16	0	-0.000440	-0.000599	-0.000901
3504.88	0	-0.000415	-0.000541	-0.000878
3512.60	0	-0.000450	-0.000539	-0.000889
3520.32	0	-0.000446	-0.000585	-0.000895
3528.04	0	-0.000345	-0.000525	-0.000862
3535.76	0	-0.000443	-0.000561	-0.000875
3543.48	0	-0.000429	-0.000503	-0.000860
3551.20	0	-0.000327	-0.000454	-0.000892
3558.92	0	-0.000461	-0.000608	-0.000935
3566.64	0	-0.000245	-0.000436	-0.000847
3574.36	0	-0.000336	-0.000477	-0.000889
3582.08	0	-0.000497	-0.000621	-0.000963
3589.80	0	-0.000251	-0.000427	-0.000881
3597.52	0	-0.000404	-0.000538	-0.000933
3605.24	0	-0.000392	-0.000563	-0.000978
3612.96	0	-0.000258	-0.000452	-0.000937
3620.68	0	-0.000413	-0.000550	-0.000977
3628.40	0	-0.000246	-0.000460	-0.000951
3636.12	0	-0.000375	-0.000572	-0.000959
3643.84	0	-0.000524	-0.000647	-0.000968
3651.56	0	-0.000210	-0.000487	-0.001025
3659.28	0	-0.000429	-0.000591	-0.000995
3667.00	0	-0.000481	-0.000585	-0.000976
3674.72	0	-0.000302	-0.000545	-0.001062
3682.44	0	-0.000484	-0.000610	-0.001037
3690.16	0	-0.000425	-0.000596	-0.001080
3697.88	0	-0.000433	-0.000621	-0.001001
3705.60	0	-0.000530	-0.000667	-0.001016
3713.32	0	-0.000363	-0.000616	-0.001088
3721.04	0	-0.000413	-0.000587	-0.001000
3728.76	0	-0.000348	-0.000534	-0.000989
3736.48	0	-0.000274	-0.000499	-0.000994
3744.20	0	-0.000260	-0.000510	-0.001074
3751.92	0	-0.000237	-0.000541	-0.001156
3759.64	0	-0.000451	-0.000587	-0.001034
3767.36	0	-0.000525	-0.000670	-0.001116
3775.08	0	-0.000553	-0.000728	-0.001168
3782.80	0	-0.000545	-0.000685	-0.001070
3790.52	0	-0.000570	-0.000678	-0.001080
3798.24	0	-0.000480	-0.000666	-0.001168
3805.96	0	-0.000436	-0.000677	-0.001224
3813.68	0	-0.000554	-0.000695	-0.001220
3821.40	0	-0.000440	-0.000675	-0.001252
3829.12	0	-0.000536	-0.000682	-0.001158
3836.84	0	-0.000448	-0.000646	-0.001227
3844.56	0	-0.000497	-0.000665	-0.001168
3852.28	0	-0.000438	-0.000628	-0.001160
3860.00	0	-0.000361	-0.000587	-0.001221
3867.72	0	-0.000497	-0.000596	-0.001127
3875.44	0	-0.000505	-0.000651	-0.001197
3883.16	0	-0.000480	-0.000609	-0.001171
3890.88	0	-0.000476	-0.000635	-0.001208
3898.60	0	-0.000492	-0.000628	-0.001193
3906.32	0	-0.000381	-0.000545	-0.001171
3914.04	0	-0.000571	-0.000710	-0.001238
3921.76	0	-0.000488	-0.000608	-0.001176
3929.48	0	-0.000465	-0.000600	-0.001159
3937.20	0	-0.000555	-0.000715	-0.001181
3944.92	0	-0.000521	-0.000617	-0.001121
3952.64	0	-0.000555	-0.000655	-0.001178
3960.36	0	-0.000615	-0.000742	-0.001245
3968.08	0	-0.000566	-0.000711	-0.001201
3975.80	0	-0.000558	-0.000716	-0.001247
3983.52	0	-0.000660	-0.000730	-0.001256
3991.24	0	-0.000608	-0.000725	-0.001240
3998.96	0	-0.000620	-0.000724	-0.001221
4006.68	0	-0.000653	-0.000760	-0.001295
4014.40	0	-0.000622	-0.000754	-0.001316
4022.12	0	-0.000710	-0.000766	-0.001314
4029.84	0	-0.000661	-0.000831	-0.001376
4037.56	0	-0.000635	-0.000740	-0.001320
4045.28	0	-0.000684	-0.000761	-0.001313
4053.00	0	-0.000642	-0.000753	-0.001320
4060.72	0	-0.000655	-0.000715	-0.001278
4068.44	0	-0.000676	-0.000825	-0.001337
4076.16	0	-0.000684	-0.000748	-0.001326
4083.88	0	-0.000768	-0.000835	-0.001424
4091.60	0	-0.000735	-0.000828	-0.001435
4099.32	0	-0.000674	-0.000774	-0.001367
4107.04	0	-0.000680	-0.000815	-0.001434
4114.76	0	-0.000695	-0.000771	-0.001390
4122.48	0	-0.000748	-0.000842	-0.001420
4130.20	0	-0.000703	-0.000782	-0.001408
4137.92	0	-0.000676	-0.000753	-0.001434
4145.64	0	-0.000678	-0.000835	-0.001472
4153.36	0	-0.000708	-0.000806	-0.001443
4161.08	0	-0.000690	-0.000770	-0.001411
4168.80	0	-0.000690	-0.000795	-0.001458
4176.52	0	-0.000745	-0.000862	-0.001464
4184.24	0	-0.000701	-0.000783	-0.001381
4191.96	0	-0.000686	-0.000730	-0.001442
4199.68	0	-0.000738	-0.000754	-0.001412
4207.40	0	-0.000683	-0.000784	-0.001443
4215.12	0	-0.000636	-0.000749	-0.001392
4222.84	0	-0.000676	-0.000700	-0.001312
4230.56	0	-0.000640	-0.000756	-0.001353
4238.28	0	-0.000732	-0.000805	-0.001415
